unique id,name,rating,votes,title,location,date,genuinity,description
17031,Lucky s.,4,,Don't purchase for huvy use WiFi network issue,India,11-Feb-23,Verified Purchase,"The media could not be loaded.
                



 Don't purchase for huvy use WiFi network automatically disconnected  many times  and low refresh rate 60 htz low camera quality"
17949,sayooj,4,14,Initial impression,India,28-Nov-22,Verified Purchase,"Bought this laptop on Nov 2022. Reviewing after 1 week of usage.Pros:Excellent Speakers!Excellent trackpadGood keyboardNice 60Hz display. (Some images show 144Hz. but it's not!). Screen wobble is there, but won't notice much.Has an overall premium feel. Pretty decent for this price.Cons:The WiFi adapter keeps failing at times. Disabling and again enabling the driver or restarting the system is required every time to connect back to WiFi.The laptop is quite heavy.Incorrect warranty details were displayed in HP website. I was getting only 11 months of warranty. I contacted HP, uploaded the purchase documents and the issue got solved in a few days. Happy with HP support!"
18586,Placeholder,4,,Best laptop under 50000,India,16-Jan-23,Verified Purchase,My dream laptop this is the best laptop
18987,Kindle Customer,5,One,Six month review.,India,17-Jan-23,Verified Purchase,"Its a decent laptop,not a powerhouse, but will get you through most things without hassle. I dont use it for gaming mostly just coding. If u r a machine learning aspirant you should know CUDA doesnt work as its radeon graphics.  Its a very dependable laptop if you are not using it for gaming with good battery backup. Video editing and rendering might be a bit too much for this laptop but I tried it only once and things got really slow. For my purposes its a champion and for each it might differ based on their needs"
17339,Kumar,5,5,Excellent but!,India,18-Dec-22,Verified Purchase,"Pros:I am amazed with the performance of the Ryzen 5. Glad that I purchased this laptop for the programming and video editing.Fast Storage transfers.Better user experinece.Very nice keyboard.Sufficient Graphics Card.Cons:The design is a bit mediocre.The display panel shakes when I sit below the fan running in full speed. This ruins any meetings that has video camera turned on.Even after I shutdown the laptop with 100% batter charged, the USB and type c ports dissipate power to connected devices, such as laptop cooler, type c dock extension that connects HDMI to TV. So when I see the laptop cooler it still runs the fan after the laptop is shut down. When I turn on the laptop after a day or so, it doesn't turns on. So I have to plug in power source and only then laptop turns on and I find the batter down to 0%. This is not a battery problem, but the poor design with USB ports, and Type c port. This is really daunting and I hope HP will fix this through some software drivers as patches.Review for Amazon:Though I purchased this laptop for Zero Cost EMI, where amazon has mentioned No Cost EMI Discount worth Rs.2,807.76/-, the HSBC has charged me this amount as Net Outsanding Balance along with GST. Escalating this to Amazon didn't help as they mentioned that they need to reach HSBC for this.When I reached HSBC, they mentioned Amazon has not mentioned a clause to charge this amount for converting the purchase to EMIs.So please be careful when opting for No Cost EMIs eventhough you see ""No Cost EMI Discount"" from Amazon, the Credit Card Company actually charges the amount to you. And Amazon should have taken care of this clause when defining such discounts with the Credit Card companies."
19547,Shashank Tiwary,5,,It's a beast,India,23-Feb-23,Verified Purchase,This laptop is super sexy bois! Go for it!
20447,Gopal,4,3,Warranty I got is for 8 months and not 1 year as shown in Amazon,India,07-Jan-23,Verified Purchase,Warranty I got is for 8 months and not 1 year as shown in Amazon
19791,Jim,5,,Powerhouse that runs hot,India,19-Feb-23,Verified Purchase,It can play almost any AAA title but it can get a little hot
16970,Shubham Patil,4,26,"Good for Gaming, Wrong config for Video Editing/Creators. Terrible WiFi issue",India,16-Sep-22,Verified Purchase,"Bought this in December 2021, when I was on a lookout for a new laptop to edit videos on. I chose a gaming laptop since the hardware suitable for such task is only available on gaming machines in this category and budget. I had done my research which told me that video rendering is mostly a CPU-heavy task and there was very little difference between NVIDIA and AMD GPUs. It was my mistake to believe it. Premiere Pro doesn't officially support AMD Radeon 5500M, though its latest version does support hardware encoding with AMD GPU, but I still feel a lack of performance. If you want to further your interests with After Effects and Blender, then it is totally not an ideal GPU currently. Better to go with similarly specced NVIDIA model.Other big pet peeve is that the Realtek WiFi card stops working once in a while, needing to restart the computer or disable and reenable the card from Windows Device Manager. Very frustrating, especially if you're in middle of a call or a transaction. I don't know if it's a driver or hardware issue. I waited for a software update all this time, but will go to the service center and get the card replaced now. Even the GPU drivers from HP are mismatch and Radeon Software was not behaving properly with the stock drivers.Despite the configuration, the weight is a bit too much, makes it a pain to carry around. And the 16 inch screen size didn't feel like a big increment from 15.6 perhaps because of the aspect ratio.No complaints on gaming front, everything runs smoothly, the GPU gets to do its work pretty well there. The battery drains quickly under medium to heavy loads though."
18114,Rahul Jairaj,3,,"Everything's good, but my hinge broke after a year. The hinge isn't covered under normal warranty.",India,18-Feb-23,Verified Purchase,"The media could not be loaded.
                



 Productivity wise, it's a very good device. I use the laptop with an external monitor. The hinge broke on the right side. I've had the laptop for about a year. I called up HP for the warranty, and the hinge isn't covered. You'll need an Accidental Damage Plan to cover that. I'm disappointed because I've used the laptop's display sparingly."
20276,Gopi,5,,HP victus 16,India,15-Feb-23,Verified Purchase,"Good specifications, worth of money..."
17477,TG - All_in1bot,4,7,Realtek wifi is not good.,India,30-Oct-22,Verified Purchase,"Works really well if you debloat your Windows 11. Only problem I encounter is that WiFi disconnects sometime and I have to uninstall the device from Device manager and then refresh again. Haven't enountered this problem on Fedora Linux yet, so it seems to be a Win11 issue.Screen Wobble is manageable, you night have to change the screen angle as fan can make it wobble.Keyboard is not good, but I guess that's the problem with every laptop membrane keyboard.Windows 11 secure boot compulsion is annoying for anyone looking to distro hop.Linux support is good."
20268,Debajyoti debnath,4,14,Good but have some problems,India,10-Oct-22,Verified Purchase,"Packaging was PATHETIC just pathetic .Just the amazon cover over the hp box , no cushioning,  just one hit and my laptop would have gone .Now about the product ,It is my initial review after using 2 days .I am gonna tell about the cons here.First thing first ,it is damn heavy .IT DISCONNECTED WIFI TWICE ,I had to restart my pc (very bad wifi stick used).It has minor backlit bleed at the top corner (ingnorable)BATTERY: honestly speaking I expected more battery back that is the reason I had gone with victus not pavallion .disappointed here.Will test more .UPDATE : Attached some pictures of backlight bleeding 1st at 100 percent brightness and second at 50 percent brightness . It really feels cheap now .one star removed from review . Stay tuned ."
18013,PRAYANSH MISHRA,4,9,Classic,India,20-Oct-22,Verified Purchase,"Starting with the Bad thing1) Screen Shake, while it is under average or high-speed fan it will strongly hit when you are a 1st-time laptop owner2) Keyboard backlight brightness adjustment not there3) NO CAMERA SHUTTERNOW GOOD PART1) BIG SCREEN2) DYNAMIC LOOK ESPECIALLY IN BLACK COLOUR3) Windows 114) Battery Life is good for gaming guys but for the casual user battery life is more awesome5) Almost all needy ports are there6) dual fan with proper function adjustment which helps to reduce the temperature7) So many +points are there about this product"
16652,dheeraj,5,3,"Good quality laptop, THE best value for money",India,07-Aug-22,Verified Purchase,"The seller sent HP Victus Ryzen 7 with gtx1650 instead of Ryzen 5 with Rx5500m, i had to get a replacement for the right model, amazon delivered both the original order and replacement order withing two days and both laptops were of good quality, whole review and replacement process took about 10 days. comparing the two i would say Ryzen 5 model is equally good in multitasking and everyday usage and twice as good in gaming! this made me appreciate this laptop even more.battery life is good enough.restarts in about 10 seconds!keyboard is nice to type on.1080p 60hz screen is really good for watching multimedia and webpage text are CRISP!webcam is good enough, has wide angle.build quality is good, all plastic but seems to be durable, hopefully the hinges will stay good.windows 11 OS.trackpad is reasonably good. click buttons could have been better but that is how most laptops are these days, its about average.my laptop has backlight bleeding issue, only during black screen bootup or restart i can see yellowish light bleed, but once it finishes booting up i don't see it anymore and even on black background i dont see it, i guess its acceptable and not and issue in my casea 90hr screen for this gaming laptop would have been good to have and the gpu is capable of pushing 90fps on medium graphics that would have made this laptop flawless! probably overclocking the scrren to 75hr might help or buying a high refresh rate monitor would be better. other than that zero complaints and this is the best laptop you can ever buy for 55k in 2022. i got this for 42k after exchanging old laptop.overall very happy with the laptop, does everything i need.good for gaming, so far played battlefield v, never went below 60fps on highest ultra settings (game was locked at 60fps max) if i have to guess the max fps would be around 80fps for this game when plugged in. Rx5500m is a really good GPU! :)Edit: after 3 months the screen bleeding issue turned out to be a faulty screen and the backlight stopped working, in Bangalore there is just ONE official service centre and i had to get the screen replaced, took 10 days for them to change it.I would suggest buyers not compromise on even the smallest faults, get your product replaced immediately because later it might become ab issue, like it did for me"
17032,Sourav Sundar Dutta,5,,Love it,India,22-Jan-23,Verified Purchase,"Nice laptop, awesome looks, good performance, windows11 and heavy battery back up with ms office which is extra one in gaming laptop..i got it only 48,740/-"
19190,Apurva Patel,5,7,A perfect tool for casual gamers.,India,20-Aug-22,Verified Purchase,"Since it's an entry-level gaming laptop, that said it's understandable that it's bulky and the screen refresh rate is 60hz which you are going to see in lots of reviews. Btw I am posting this review after using this laptop for 3 months now.So first let's talk about some of the graphic intensive games and their fps: - in all games, I have locked fps to 60hz so it might be higher for some games.1. The Witcher 3 (ultra) : 60fps2. Destiny2 (high): 60fps3. The Division 2 (ultra) :  51-59 fps4. The Crew 2 (high) : 45 fps avg.5. RDR 2 (high - this is the highest setting i can apply because of limited vRAM) :  40 - 45 fpsthe only thing which I don't like is that the bottom heat sink is not quite raised, so if I don't raise the laptop a little bit from the back the temp touched 100 degrees even though the fans are running at max speed.I also faced an issue installing the AMD software: adrenalin edition which its equivalent to Geforce experience, so I cannot do the fine-tuning or optimizing to some of the games which are built for AMD graphics.All other features are absolute above par compared to the price -1. Battery ( i think this would be the usp for this laptop),2. Speakers are great depending on what you are listening (it's loud for the music but for gaming and streaming movies it's not that great ).3. Not RGB backlit keyboard - which I really want no RGB BS.4. You can expect 6 core cpu (3.10 ghz boost) in this price segment in the gaming laptop - all thanks to AMD5. Radeon Rx 5500M which beats the gtx 1650 and 1650ti at the lower price.All in all, there are few cons that come with this laptop which are not worth mentioning because this is a budget laptop, and to reduce the cost they have to definitely compromise in some ways. So as compared to other gaming laptops in this price segment this would definitely beat the others.For me, this laptop is meeting my day-to-day requirements as of now."
18954,Amazon Customer,3,One,Great product but warranty issue,India,15-Jan-23,Verified Purchase,Great computer for my use. Good for editing videos and my daily office work. Fast booting. Only problem is screen wobble while opening it. Else a good laptop. Wish I had ordered it 3 to 4 hours later as the price went down with offer. A good price difference which I missed. I could have upgraded the ram to 16gb with that amount. 😢 Warranty starts in Sep 22 for a product I purchased in Jan 23
17129,Buyer ,3,One,Mid Range laptop,India,06-Feb-23,Verified Purchase,Battery backup is low and weight is little bit more.
17187,Lakshya,5,123,Best bang for the buck laptop in this price range,India,04-Dec-21,Verified Purchase,"The media could not be loaded.
                



 I bought this laptop for ₹62,000, (although the price dips at times to ₹58,990). It is one of the best laptops in this price segment considering both it's performance and functionality.Pros:1. It has the Radeon 5500m graphics card, which is better than the GTX 1650, that you will find in other similar, lower and even some higher priced laptops. The 5500m can easily run all recent titles at medium to high settings, 1080p 60fps. In older games like battlefield 1, GTA 5, Metro Redux, etc you can crank the settings to ultra and the fps will remain at 60fps.2. The Ryzen 5 5600H is a beast of a processor and can handle anything that you can throw at it.3. The 70 watt hour battery (compared to the 50 watt hour that you will find in other laptops) easily gives around 6hrs of normal use e.g. browsing, youtube, video playback, a bit of photoshop etc. while the other laptops in the price segment can hardly manage 4hrs.4. The build quality is amazing. Its made for people, like students who need a daily driver laptop which can game and at the same time does not look too flashy. Its functional, the keyboard is good, mousepad feels good to use and the overall build quality is great.5. Viewing angles are great, no glare or reflections as it is a matt finish screen.Cons:1. The fan intake vents are on either sides of the laptop. So if you are using the laptop, keeping it on your lap, the fan intakes will get blocked. You will have to keep a hard, flat base underneath in order to prevent the intakes from getting blocked.2. The laptop is a bit heavy and if you are thinking of keeping it on your lap and using it, good luck. Your legs are going to go numb in a very short time.3. The screen does not get very bright. So it will be difficult to use it outside, under direct sunlight.*Note:In many online reviews you will find complains about screen wobbling, but the issue is not as much as they are making it to be. The screen has a normal amount of wobble which you will find in most other similar sized laptops.And if you are looking for a laptop for gaming only, don't buy this. Rather go for something with a 3050. This is good for casual gaming (it can run all games but you'll have to compromise on the graphics a bit) but not for playing all games at maxed settings and streaming at the same time.I've run the following games on this laptop and all of them work great:Days GoneNFS HeatGTA 5Battlefield 1Metro ReduxDishonored 1 & 2"
19017,Wamik Khan,5,,Nice 👍 product,India,22-Jan-23,Verified Purchase,I think at this price it is the best. 👍👍👌👌
17009,JB,3,2,Build quality is not great,India,15-Dec-22,Verified Purchase,"No issues with performance. It's quite fast.Boots up in a few seconds. I've also dual booted it with Ubuntu 20, and driver support is good right out of the box.ButThe touchpad button is falsely triggered now and then if you use it on your lap instead of a flat sturdy table. This is because the plastic body flexes a little which easily triggers the button. The touchpad is also a little too large and can interfere while typing. My palm touches it often while typing, resulting in a lot of undo moves.The bottom right corner backlight LED of the screen stopped working. So I have a dark corner in the screen"
17180,Placeholder,4,3,Average battery life,India,02-Oct-22,Verified Purchase,Review after 2 dayLaptop is just owsome and battery life is also very good 6.5 to 7+ hours of battery backup when battery saver is on all the time . Firstly i got only 5 hours backup without battery backup which is bad. But now i am fully satisfied with this laptop and its battery. If you are concerned with battery then then this is the best battery gaming powerful laptop under 60000. Btw got it 48000
17524,Smart Buyer,4,One,Good product,India,11-Nov-22,Verified Purchase,"I m writing this review after 1 month. Well, the laptop is good but battery backup is of 6 hrs it is consuming 15 percent in an hour."
